Encounter.occurrenceID,Year,Encounter.mediaAsset1,Month,Day,Hour,Minutes,DecimalLatitude,DecimalLongitude,LocationDescription,Country,LocationID,Genus,Species,IndividualIDGrouperSpotter,IndividualNickname,Sex,VideoComments,ImageComments,Encounter.submitter.emailAddress,PhotographerFullName,Encounter.state,PhotographerEmail,Fish_Length,Distinguishing Features,Encounter.measurement2,LivingStatus,Lifestage,FishDepth,Behavior,TissueSampleID,Encounter.mediaAsset0.keywords,Encounter.mediaAsset1.keywords,mediaAsset0,mediaAsset1
GMP_021015_morning_20cmlasers_brice_1_2015_2_10,2015,,2,10,9.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Brice,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_morning_20cmlasers_brice_1__00_09_29_00__2276_ID139_box2441.jpg,
GMP_021015_morning_20cmlasers_brice_2_2015_2_10,2015,,2,10,9.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Brice,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_morning_20cmlasers_brice_2__00_04_54_250__1177_ID140_box1459.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_00_250__1_ID0_box0.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_03_00__12_ID4_box23.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_05_00__20_ID6_box34.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_05_750__23_ID8_box40.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_13_750__55_ID17_box107.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_20_500__82_ID18_box152.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_26_500__106_ID28_box185.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_52_250__209_ID42_box317.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_00_59_00__236_ID48_box362.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_01_02_750__251_ID58_box391.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_01_04_500__258_ID61_box398.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_01_11_00__284_ID69_box440.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_02_18_00__552_ID114_box777.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_02_20_500__562_ID116_box788.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_02_41_250__645_ID127_box895.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_02_47_500__670_ID128_box937.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_03_25_500__822_ID157_box1107.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_03_51_250__925_ID185_box1237.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_04_57_00__1188_ID278_box1636.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_05_31_00__1324_ID316_box1809.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_05_34_750__1339_ID320_box1830.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_05_44_750__1379_ID329_box1899.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_05_53_500__1414_ID341_box1982.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_06_08_500__1474_ID346_box2068.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_06_38_250__1593_ID363_box2211.jpg,
GMP_021015_afternoon_25cmlasers_leslie_1_2015_2_10,2015,,2,10,13.0,,19.64998,-80.12083,West End Little Cayman FSA,Cayman Islands,West End Little Cayman FSA,Epinephelus ,striatus,,,,,,GrouperMoonProject@REEF.org,Leslie,,grouperspotter@REEF.org,,,,alive,adult,,,,,,GMP_021015_afternoon_25cmlasers_leslie_1__00_06_42_250__1609_ID365_box2230.jpg,
