bbox_name_(auto),created_date_(auto),parent_folders_(auto),volunteer_name_(auto),location,diver,year,month,day,rough_time_of_day,video_comments,bbox_comments,tagged,same_as_other_box,laser,phase,xmin,ymin,xmax,ymax,score,obj_id
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_00_16_750_-_67_ID0_box66.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,790,410,1023,560,0.2836254537,0
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_00_32_500_-_130_ID1_box129.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,012619_Afternoon_Brice_blacklasers_303slate_2_-_00_00_16_750_-_67_ID0_box66.jpg,yes,,777,408,1075,557,0.348036468,1
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_00_57_250_-_229_ID11_box231.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,646,358,1128,593,0.999977231,11
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_01_33_500_-_374_ID17_box377.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,752,407,1018,569,0.9897305965,17
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_01_47_250_-_429_ID19_box435.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,678,392,1087,617,0.9962320924,19
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_01_54_250_-_457_ID23_box464.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,702,400,1022,549,0.9976863861,23
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_02_06_750_-_507_ID27_box515.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,no,,871,434,1232,661,0.3744378686,27
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_02_17_750_-_551_ID33_box560.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,674,391,1125,560,0.9999822378,33
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_02_19_750_-_559_ID33_box568.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,625,318,997,579,0.1321685761,33
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_03_01_00_-_724_ID42_box735.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,725,449,1089,613,0.999973774,42
012619_Afternoon_Brice_blacklasers_303slate_2_-_00_03_03_750_-_735_ID43_box757.jpg,2019-01-26T14:09:52.000000Z,Grouper Moon_--_Video and Photos_--_2019_--_January_--_Lasers_--_012619_Afternoon_Brice_blacklasers_303slate_(VIDEO)_finished,Claire Kosinski,,,,,,,,,,,yes,,811,501,1046,617,0.5653008819,43
