Encounter.mediaAsset0,Encounter.mediaAsset1,Encounter.mediaAsset2,Encounter.mediaAsset3,Encounter.mediaAsset4,Encounter.mediaAsset5,Encounter.mediaAsset6,Encounter.mediaAsset7,Encounter.mediaAsset8,Encounter.mediaAsset9,Encounter.locationID,Encounter.verbatimLocality,Encounter.decimalLatitude,Encounter.decimalLongitude,Encounter.year,Encounter.month,Encounter.day,Encounter.hour,Encounter.minutes,Encounter.occurrenceRemarks,Encounter.photographer0.fullName,Encounter.photographer0.affiliation,Encounter.photographer0.emailAddress,Encounter.genus,Encounter.specificEpithet,Encounter.submitterID,Encounter.submitterX.affiliation,Encounter.submitterX.emailAddress,Encounter.state,Encounter.mediaAsset0.keywords,Encounter.Keywords0,Encounter.Keywords1,Encounter.mediaAsset1.keywords,Encounter.mediaAsset2.keywords,Encounter.mediaAsset3.keywords,Encounter.mediaAsset4.keywords,Encounter.mediaAsset5.keywords,Encounter.mediaAsset6.keywords,Encounter.mediaAsset7.keywords,Encounter.mediaAsset8.keywords,Encounter.mediaAsset9.keywords,Encounter.measurement0,Encounter.measurement1,Encounter.measurement2,Encounter.measurement3,Encounter.distinguishingScar,Encounter.livingStatus,Encounter.lifeStage,Encounter.depth,Encounter.behavior,Encounter.sex,Encounter.individualID,Encounter.identificationRemarks,Encounter.informOtherX.affiliation,Encounter.informOtherX.emailAddress,Encounter.informOtherX.fullName,Encounter.submitterOrganization,TissueSample.sampleID,Encounter.researcherComments
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_00_15_00_-_60_ID2_box61.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_00_25_00_-_100_ID8_box108.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_00_37_00_-_148_ID10_box156.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_00_42_250_-_169_ID11_box177.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_00_56_500_-_226_ID15_box236.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_01_01_00_-_244_ID19_box257.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_01_30_750_-_363_ID26_box381.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_01_33_500_-_374_ID26_box394.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_01_35_500_-_382_ID30_box403.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_01_45_00_-_420_ID34_box461.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_01_59_00_-_476_ID41_box547.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_02_21_250_-_565_ID56_box650.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_03_07_750_-_751_ID73_box879.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_03_18_750_-_795_ID77_box937.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_03_34_250_-_857_ID78_box1009.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_03_39_500_-_878_ID81_box1032.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_03_48_750_-_915_ID84_box1075.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_04_27_500_-_1070_ID97_box1233.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_04_30_250_-_1081_ID97_box1251.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_04_47_00_-_1148_ID106_box1322.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_04_51_00_-_1164_ID107_box1340.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_04_54_250_-_1177_ID111_box1359.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_05_05_250_-_1221_ID120_box1424.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_05_08_250_-_1233_ID120_box1439.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_06_37_00_-_1588_ID148_box1808.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_06_59_00_-_1676_ID151_box1897.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_07_26_750_-_1787_ID154_box2012.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_07_36_00_-_1824_ID157_box2057.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
"Cayman Laser Tape 1 Jan (15,17,18,19) 2006 (0.00-40.12)_-_00_07_37_750_-_1831_ID157_box2067.jpg",,,,,,,,,,Little Cayman,West End Little Cayman FSA,19.64998,-80.12083,2006,,,,,,,Grouper Moon,,Epinephelus,striatus,Bryant.Tran,,,unapproved,,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,,
